,ResultsFK,Time,Time_1,FacilityStates,_ImmigrationType
548,1,44013.385416666664,0,Idle,Automatic
549,1,44013.385416666664,10,Closed,Normal
550,1,44013.385416666664,0,In Use,Automatic
551,1,44013.385416666664,2,Closed,Automatic
552,1,44013.38888888889,0,In Use,Normal
553,1,44013.38888888889,0,Idle,Normal
554,1,44013.38888888889,0,Idle,Automatic
555,1,44013.38888888889,10,Closed,Normal
556,1,44013.38888888889,0,In Use,Automatic
557,1,44013.38888888889,2,Closed,Automatic
558,1,44013.39236111111,0,In Use,Normal
559,1,44013.39236111111,0,Idle,Normal
560,1,44013.39236111111,0,Idle,Automatic
561,1,44013.39236111111,10,Closed,Normal
562,1,44013.39236111111,0,In Use,Automatic
563,1,44013.39236111111,2,Closed,Automatic
564,1,44013.395833333336,0,In Use,Normal
565,1,44013.395833333336,0,Idle,Normal
566,1,44013.395833333336,0,Idle,Automatic
567,1,44013.395833333336,10,Closed,Normal
568,1,44013.395833333336,0,In Use,Automatic
569,1,44013.395833333336,2,Closed,Automatic
570,1,44013.399305555555,0,In Use,Normal
571,1,44013.399305555555,0,Idle,Normal
572,1,44013.399305555555,0,Idle,Automatic
573,1,44013.399305555555,10,Closed,Normal
574,1,44013.399305555555,0,In Use,Automatic
575,1,44013.399305555555,2,Closed,Automatic
576,1,44013.40277777778,0,In Use,Normal
577,1,44013.40277777778,0,Idle,Normal
578,1,44013.40277777778,0,Idle,Automatic
579,1,44013.40277777778,10,Closed,Normal
580,1,44013.40277777778,0,In Use,Automatic
581,1,44013.40277777778,2,Closed,Automatic
582,1,44013.40625,0,In Use,Normal
583,1,44013.40625,0,Idle,Normal
584,1,44013.40625,0,Idle,Automatic
585,1,44013.40625,10,Closed,Normal
586,1,44013.40625,0,In Use,Automatic
587,1,44013.40625,2,Closed,Automatic
588,1,44013.40972222222,0,In Use,Normal
589,1,44013.40972222222,0,Idle,Normal
590,1,44013.40972222222,0,Idle,Automatic
591,1,44013.40972222222,10,Closed,Normal
592,1,44013.40972222222,0,In Use,Automatic
593,1,44013.40972222222,2,Closed,Automatic
594,1,44013.413194444445,0,In Use,Normal
595,1,44013.413194444445,0,Idle,Normal
596,1,44013.413194444445,0,Idle,Automatic
597,1,44013.413194444445,10,Closed,Normal
598,1,44013.413194444445,0,In Use,Automatic
599,1,44013.413194444445,2,Closed,Automatic
600,1,44013.416666666664,0,In Use,Normal
601,1,44013.416666666664,0,Idle,Normal
602,1,44013.416666666664,0,Idle,Automatic
603,1,44013.416666666664,10,Closed,Normal
604,1,44013.416666666664,0,In Use,Automatic
605,1,44013.416666666664,2,Closed,Automatic
606,1,44013.42013888889,0,In Use,Normal
607,1,44013.42013888889,0,Idle,Normal
608,1,44013.42013888889,0,Idle,Automatic
609,1,44013.42013888889,10,Closed,Normal
610,1,44013.42013888889,0,In Use,Automatic
611,1,44013.42013888889,2,Closed,Automatic
612,1,44013.42361111111,0,In Use,Normal
613,1,44013.42361111111,0,Idle,Normal
614,1,44013.42361111111,0,Idle,Automatic
615,1,44013.42361111111,10,Closed,Normal
616,1,44013.42361111111,0,In Use,Automatic
617,1,44013.42361111111,2,Closed,Automatic
